raw_feature,feature_label,mean_abs_shap,mean_shap,transformed_feature_count,governance_note
interest_rate,Interest Rate,0.6188817807818026,-0.0548024477223128,1,Pricing/risk signal: explain carefully because pricing can reflect prior underwriting risk.
amount_missing_flag,Amount Missing Flag,0.3583829397782683,0.0803675895507137,1,Data-quality signal: monitor for drift and do not interpret as borrower behaviour alone.
broad_data_quality_issue_count,Broad Data Quality Issue Count,0.1705647260174155,-0.0501884246890743,1,Data-quality signal: monitor for drift and do not interpret as borrower behaviour alone.
total_income_pa,Total Income Pa,0.138080672078533,-0.0192555192117579,1,Affordability/exposure signal: suitable for portfolio-risk interpretation.
core_data_quality_issue_count,Core Data Quality Issue Count,0.0856401540107811,-0.0659113198031652,1,Data-quality signal: monitor for drift and do not interpret as borrower behaviour alone.
loan_to_income_band,Loan To Income Band,0.0731300322072832,0.0236193679963956,1,Affordability/exposure signal: suitable for portfolio-risk interpretation.
high_interest_flag,High Interest Flag,0.0720734994534092,0.014623957467731,1,Pricing/risk signal: explain carefully because pricing can reflect prior underwriting risk.
tenure_years,Tenure Years,0.0599833092020902,-0.0113899422642231,1,Segment/product signal: monitor segment stability and business reasonableness.
loan_category,Loan Category,0.0533628796699486,0.0001289622058829,1,Segment/product signal: monitor segment stability and business reasonableness.
amount,Amount,0.0435312987057889,-0.01645181963439,1,Affordability/exposure signal: suitable for portfolio-risk interpretation.
loan_to_income_ratio,Loan To Income Ratio,0.0413554990795673,0.0185444463679644,1,Affordability/exposure signal: suitable for portfolio-risk interpretation.
home,Home,0.0386601656283285,-0.0003258597677073,1,Segment/product signal: monitor segment stability and business reasonableness.
